,CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed,CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed,CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed,CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed,CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed,EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed,EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed,EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed,CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed,CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed,CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed,CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed,CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed,CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed,EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed,EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed,EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed,EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed,CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed,CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed
chr10:513800-513900,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
chr10:515700-515750,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:756600-756700,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0
chr10:768450-768600,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:950350-950400,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
chr10:1249750-1249800,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:1264350-1264450,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.75
chr10:1282700-1282850,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1330650-1330750,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.75
chr10:1358850-1358950,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:1432500-1432550,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1433800-1433950,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.0
chr10:1446900-1447100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:1453700-1453800,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0
chr10:1469600-1469650,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
chr10:1484800-1484850,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1522100-1522400,0.9166666666666666,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,0.9166666666666666,0.0
chr10:1523550-1523650,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75
chr10:1527100-1527150,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1527650-1527750,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
chr10:1537550-1537650,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0
chr10:1585100-1585150,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1589200-1589250,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1597150-1597200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1605950-1606050,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1648200-1648250,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
chr10:1666800-1666950,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
chr10:1760500-1760550,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1762400-1762450,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1773800-1773900,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1838300-1838800,0.0,0.8,0.0,0.0,1.0,1.0,0.0,1.0,0.95,1.0,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.8
chr10:1845300-1845450,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1865350-1865850,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:1877550-1877800,0.3,0.0,0.0,0.0,0.3,1.0,0.0,1.0,1.0,0.9,0.3,1.0,1.0,0.3,0.9,1.0,1.0,1.0,1.0,1.0
chr10:1896050-1896150,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.25,0.25
chr10:1909200-1909300,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.0,1.0,1.0,1.0
chr10:1942450-1942950,0.0,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.85,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0
chr10:1945000-1945050,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1951300-1951450,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8333333333333334,0.3333333333333333,1.0,1.0,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0,0.0,1.0
chr10:1967100-1967200,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0
chr10:1968500-1968550,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0
chr10:1969550-1969800,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,1.0,0.9,1.0,1.0,1.0,0.9,0.6,0.7,0.6,1.0,1.0,1.0
chr10:1970500-1970850,0.14285714285714285,0.0,0.35714285714285715,0.0,1.0,0.21428571428571427,0.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1971050-1971850,0.0,0.0,0.0,0.0,1.0,0.40625,0.0,0.5,0.75,1.0,1.0,0.8125,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.96875
chr10:1975450-1975500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1984050-1984250,0.25,0.0,0.25,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.25
chr10:1987950-1988350,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9375,0.0,0.9375,1.0,0.0625,1.0,1.0,1.0,0.8125,1.0,0.75,1.0
chr10:1990750-1990800,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1992300-1992350,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:1993950-1994000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
chr10:1995750-1995800,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
chr10:2003550-2004150,0.0,0.0,0.0,0.0,1.0,0.375,0.25,1.0,1.0,0.375,0.75,1.0,1.0,0.125,1.0,1.0,1.0,1.0,0.875,1.0
chr10:2012850-2012950,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.75,1.0,1.0
chr10:2016750-2016850,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,0.0,1.0
chr10:2017250-2017400,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333
chr10:2024550-2024700,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
chr10:2107100-2107250,0.0,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,0.8333333333333334
chr10:2208750-2208850,0.75,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0
chr10:2223000-2223100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.75,0.75,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.0,0.75
chr10:2256050-2256100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:2295950-2296100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
chr10:2324500-2324550,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2330200-2330250,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
chr10:2385900-2386100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
chr10:2386450-2386500,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
chr10:2388200-2388350,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
chr10:2393650-2393800,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2397300-2397450,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2407500-2407950,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
chr10:2429900-2429950,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
chr10:2430250-2430300,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
chr10:2611450-2611500,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2616150-2616200,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2709750-2709950,0.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,1.0,0.25,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2747750-2747900,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334
chr10:2938050-2938100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2945850-2946100,1.0,0.0,0.6,0.0,0.1,1.0,0.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2947600-2947650,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2951100-2951850,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2953150-2953300,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2954400-2954650,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
chr10:2956400-2957750,0.037037037037037035,0.0,0.2777777777777778,0.3333333333333333,0.2037037037037037,0.9814814814814815,0.0,1.0,1.0,1.0,0.48148148148148145,1.0,1.0,0.8703703703703703,1.0,1.0,1.0,1.0,0.7777777777777778,0.8888888888888888
chr10:2962750-2962850,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2964000-2964350,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.21428571428571427,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2971200-2971600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.9375,1.0,0.25,0.0,0.9375,1.0,1.0,0.9375,1.0,0.0,1.0
chr10:2972450-2972700,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,0.9,1.0,1.0,1.0,0.0,1.0,0.3,1.0
chr10:2975550-2975700,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
chr10:2977850-2977900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0
chr10:2979200-2979300,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0
chr10:2982450-2983350,1.0,0.0,0.0,0.25,0.4166666666666667,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,1.0,1.0
chr10:2986800-2987550,1.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,0.7,0.0,1.0,1.0,1.0
chr10:2987700-2987950,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2993100-2993150,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2993300-2993400,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0
chr10:2995700-2995750,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5
chr10:2996800-2997000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
chr10:2997400-2997500,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
chr10:2999250-2999400,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
chr10:3003900-3004350,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
chr10:3004600-3004650,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
chr10:3007650-3007700,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:3008200-3008700,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:3008850-3008900,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:3016800-3016850,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
chr10:3024450-3024600,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chr10:3024850-3025050,1.0,0.0,0.0,0.625,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.25,1.0,1.0,1.0,1.0,1.0
chr10:3026550-3026600,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
